id,name,gender,yearOfBirth,birthCity,birthState,yearOfDeath,deathCity,deathState,url
2387,"McQueen, Steve",None,1969,London,United Kingdom,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/steve-mcqueen-2387
366,"McTaggart, William",None,1835,Argyll and Bute,United Kingdom,1910,Midlothian,United Kingdom,http://www.tate.org.uk/art/artists/william-mctaggart-366
1613,"McWilliam, F.E.",None,1909,Down,United Kingdom,1992,Unknown,Unknown,http://www.tate.org.uk/art/artists/fe-mcwilliam-1613
1625,"Meštrovic, Ivan",None,1883,Hrvatska,Unknown,1962,South Bend,United States,http://www.tate.org.uk/art/artists/ivan-mestrovic-1625
1614,"Mead, Dorothy",None,1928,London,United Kingdom,1975,Unknown,Unknown,http://www.tate.org.uk/art/artists/dorothy-mead-1614
1615,"Meadows, Bernard",None,1915,Norwich,United Kingdom,2005,Unknown,Unknown,http://www.tate.org.uk/art/artists/bernard-meadows-1615
7084,"Meadows, Jason",None,1972,Indianapolis,United States,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/jason-meadows-7084
7213,"Medalla, David",None,1942,Manila,Pilipinas,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/david-medalla-7213
1616,"Medley, Robert",None,1905,London,United Kingdom,1994,Unknown,Unknown,http://www.tate.org.uk/art/artists/robert-medley-1616
1617,"Mednikoff, Reuben",None,1906,London,United Kingdom,1972,Bexhill-on-Sea,United Kingdom,http://www.tate.org.uk/art/artists/reuben-mednikoff-1617
1618,"Mehring, Howard",None,1931,Washington,United States,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/howard-mehring-1618
1619,"Meidner, Else",None,1901,Berlin,Deutschland,1987,Unknown,Unknown,http://www.tate.org.uk/art/artists/else-meidner-1619
6633,"Meireles, Cildo",None,1948,Rio de Janeiro,Brasil,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/cildo-meireles-6633
9674,"Mekas, Jonas",None,1922,Lietuva,Unknown,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/jonas-mekas-9674
2646,"Melland, Sylvia",None,1906,Altrincham,United Kingdom,1993,Unknown,Unknown,http://www.tate.org.uk/art/artists/sylvia-melland-2646
1620,"Mellis, Margaret",None,1914,Zhonghua,Unknown,2009,Unknown,Unknown,http://www.tate.org.uk/art/artists/margaret-mellis-1620
11955,"Mellors, Nathaniel",None,1974,Doncaster,United Kingdom,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/nathaniel-mellors-11955
17135,"Melnikov, Dmitrii",None,1899,Unknown,Unknown,1962,Unknown,Unknown,http://www.tate.org.uk/art/artists/dmitrii-melnikov-17135
375,"Melville, Arthur",None,1855,Angus,United Kingdom,1904,Whiteley Village,United Kingdom,http://www.tate.org.uk/art/artists/arthur-melville-375
11167,"Mendieta, Ana",None,1948,La Habana,Cuba,1985,New York,United States,http://www.tate.org.uk/art/artists/ana-mendieta-11167
1621,"Meneeley, Ed",None,1927,Wilkes-Barre,United States,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/ed-meneeley-1621
1622,"Meninsky, Bernard",None,1891,Ukrayina,Unknown,1950,London,United Kingdom,http://www.tate.org.uk/art/artists/bernard-meninsky-1622
